"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
56,619,7,167.691502292788,60,5,5.50026541754675,0.60873236382303,0.25,0.890986489933261,"MED LOW"
57,623,4,170.700633293417,60,4,4.49910377248018,0.60873236382303,0.25,0.917312645247089,"MED LOW"
58,628,2,152.331699773689,60,3,3.4993581107041,0.60873236382303,0.25,0.632124117990592,"MED LOW"
59,636,1,131.667896693796,60,2,2.4994661817963,0.60873236382303,0.25,0.174119978478022,"MED LOW"
59,637,2,128.050505627513,60,2,2.50074745798221,0.60873236382303,0.25,0.127417596993795,"MED LOW"
56,619,7,176.280197969392,61,6,6.49931372540958,0.59670551603863,0.25,0.951334165266145,"MED LOW"
58,628,2,170.147496021541,61,4,4.50150293380868,0.59670551603863,0.25,0.912951738929238,"MED LOW"
58,634,8,173.849382703987,61,4,4.50139941800248,0.59670551603863,0.25,0.938548234841348,"MED LOW"
59,637,2,150.16604253512,61,3,3.50083380360682,0.59670551603863,0.25,0.579679007877857,"MED LOW"
59,641,6,150.885622782943,61,3,3.49803778076165,0.59670551603863,0.25,0.597369485921538,"MED LOW"
60,647,5,133.600116043512,61,2,2.50056460511127,0.59670551603863,0.25,0.20415546192637,"MED LOW"
56,619,7,182.793600177032,62,7,7.50117369393196,0.466790293899956,0.25,0.974274474704911,"MED LOW"
58,634,8,188.56503021559,62,5,5.50048911107057,0.466790293899956,0.25,0.985517079291687,"MED LOW"
59,637,2,167.390676227606,62,4,4.49897759467172,0.466790293899956,0.25,0.887984184206428,"MED LOW"
59,641,6,168.305674160186,62,4,4.50022057441961,0.466790293899956,0.25,0.896897299175622,"MED LOW"
60,643,1,137.359658785045,62,3,3.49874757398068,0.466790293899956,0.25,0.273128609930187,"MED LOW"
60,644,2,139.411652698691,62,3,3.49843927226246,0.466790293899956,0.25,0.316378969157051,"MED LOW"
60,645,3,146.63240620374,62,3,3.50012209175943,0.466790293899956,0.25,0.490670414847634,"MED LOW"
60,650,8,157.706904791621,62,3,3.50008473701379,0.466790293899956,0.25,0.747834770047748,"MED LOW"
61,651,1,130.407190271265,62,2,2.50109947615114,0.466790293899956,0.25,0.156473132060708,"MED LOW"
59,637,2,180.806041501341,63,5,5.50194142503198,0.458134091915068,0.25,0.96870215071554,"MED LOW"
60,644,2,153.836643203972,63,4,4.50087517487515,0.458134091915068,0.25,0.666887400216372,"MED LOW"
60,650,8,177.028953056789,63,4,4.50071268116858,0.458134091915068,0.25,0.954735489304889,"MED LOW"
61,651,1,153.46076004418,63,3,3.50016828915386,0.458134091915068,0.25,0.658355949523483,"MED LOW"
