"","Predicted","Year","Length_cm","Age","Sex","Latitude_dd","Longitude_dd","REG"
"24513",53.4567365728281,2000,54,3,"M",51.40333,-178.6222,"North_Early"
"24514",59.2987946182774,2017,61,4,"F",54.365,-160.2327,"North_Late"
"24515",66.0972200255199,2002,66,6,"F",53.96666667,-163.2643333,"North_Early"
"24516",74.6922618864416,2002,70,14,"F",51.97,-176.452,"North_Early"
"24517",53.4567365728281,1993,53,3,"M",60.36333,-178.3833,"North_Early"
"24518",69.9094434247163,2006,52,10,"F",51.73166667,-176.0038333,"North_Late"
"24519",61.3334750076491,1998,61,7,"M",52.278,-173.493,"North_Early"
"24520",71.1493236763679,1989,61,9,"F",53.21667,-169.2383,"North_Early"
"24521",56.4178581171922,2001,58,4,"M",55.64,-155.8483,"North_Early"
"24522",76.2549025974958,1997,79,25,"F",57.11167,-151.2258,"North_Early"
"24523",68.8501125145567,2016,65,9,"F",51.96833,-176.4528,"North_Late"
"24524",58.5854028839881,1993,52,5,"M",60.46667,-178.345,"North_Early"
"24525",56.1831443902351,1987,53,3,"F",57.11667,-151.25,"North_Early"
"24526",63.5014997041254,1981,60,5,"F",55.56667,-155.6667,"North_Early"
"24527",69.8265732158384,1985,51,8,"F",53.77333,-167.3717,"North_Early"
"24528",61.9727863031823,2012,52,5,"F",52.255,-174.846,"North_Late"
"24529",69.8265732158384,2003,79,8,"F",56.03667,-169.6203,"North_Early"
"24530",64.403184952802,1981,60,18,"M",55.56667,-155.6667,"North_Early"
"24531",76.2839021564099,1989,86,26,"F",52.24666,-175.22,"North_Early"
"24532",64.1947367585421,2007,58,6,"F",53.61167,-168.2983,"North_Late"
"24533",52.4763509918782,2017,47,3,"M",54.31333,-161.0653,"North_Late"
"24534",66.0972200255199,2001,67,6,"F",55.98,-168.8233,"North_Early"
"24535",61.9727863031823,2015,66,5,"F",56.04167,-154.5687,"North_Late"
"24536",59.751894499999,2005,67,7,"M",57.4,-150.5747,"North_Late"
"24537",56.1831443902351,1999,59,3,"F",54.64666667,-134.25,"North_Early"
"24538",60.1720484321947,2002,58,6,"M",52.14333333,-175.6043333,"North_Early"
"24539",66.0972200255199,2004,68,6,"F",52.25167,-174.8427,"North_Early"
"24540",56.9520873188476,2014,60,5,"M",56.85167,-135.9983,"North_Late"
"24541",71.5211359341148,2010,69,12,"F",57.11666667,-151.2216667,"North_Late"
"24542",58.5854028839881,1985,62,5,"M",53.97166,-163.2667,"North_Early"
"24543",49.4114956464046,1993,54,2,"M",56.04666,-169.6417,"North_Early"
"24544",64.1947367585421,2015,64,6,"F",56.04167,-154.5687,"North_Late"
"24545",76.3927951065788,1985,89,39,"F",53.97166,-163.2667,"North_Early"
"24546",66.0410640504121,2017,66,7,"F",55.80833,-168.7942,"North_Late"
"24547",63.5014997041254,1993,51,5,"F",60.46667,-178.345,"North_Early"
"24548",63.7130180014246,2011,66,15,"M",57.11833333,-151.2113333,"North_Late"
"24549",62.981615321699,2015,74,12,"M",59.15,-147.6077,"North_Late"
"24550",64.4972957606698,1981,74,26,"M",58.3,-148.6167,"North_Early"
"24551",56.9520873188476,2006,58,5,"M",57.96833333,-149.1711667,"North_Late"
"24552",69.8265732158384,1991,70,8,"F",56.285,-153.0033,"North_Early"
"24553",74.6922618864416,1989,79,14,"F",56.28333,-153,"North_Early"
"24554",61.3334750076491,1987,58,7,"M",56.83833,-136.005,"North_Early"
"24555",49.3165711764506,2016,51,2,"M",51.59333,-177.6113,"North_Late"
"24556",60.7298427959416,2015,59,8,"M",56.85833,-135.9992,"North_Late"
"24557",73.9329092626892,2014,70,18,"F",56.48333,-152.2023,"North_Late"
