"Year","Age","AgeE","FSIM","Length_cm"
34,1,1.50139791522567,"LOW HIGH",10.1417000705903
12,2,2.50024089720694,"LOW HIGH",12.0955320907959
91,0,0.499882700144701,"LOW HIGH",6.39207698039602
35,3,3.50064104374452,"LOW HIGH",14.9312602860456
35,1,1.5007844996035,"LOW HIGH",9.90753510489763
4,1,1.50046294208831,"LOW HIGH",9.72117813702137
8,0,0.500591497460182,"LOW HIGH",6.07617707901128
71,2,2.49952189137707,"LOW HIGH",13.4623333291388
30,1,1.50061386899772,"LOW HIGH",10.2708489511028
34,1,1.50182489601058,"LOW HIGH",9.99839897954858
45,2,2.49917825033333,"LOW HIGH",12.1387790391931
60,3,3.49969144667893,"LOW HIGH",15.4539257116428
56,0,0.50059666996192,"LOW HIGH",6.01154979136812
91,5,5.50093398058406,"LOW HIGH",17.5920042107582
59,4,4.50085221340433,"LOW HIGH",15.3427610566914
79,0,0.501021034440681,"LOW HIGH",6.15630067019763
82,1,1.49921604124873,"LOW HIGH",9.86281950560669
59,2,2.49978641908103,"LOW HIGH",12.0208040076895
12,2,2.49788508412849,"LOW HIGH",12.5269566277612
87,0,0.50085604053945,"LOW HIGH",6.3339573035759
91,2,2.501522486742,"LOW HIGH",12.500106638433
10,4,4.49894634850933,"LOW HIGH",16.3777696883659
54,0,0.499489378837826,"LOW HIGH",6.24243411198566
31,0,0.499649642212858,"LOW HIGH",6.35632380583749
28,2,2.49742811000741,"LOW HIGH",12.8558840305808
79,0,0.498846631283495,"LOW HIGH",6.194133061614
18,2,2.49997667639784,"LOW HIGH",12.4975237296543
58,0,0.500441781610127,"LOW HIGH",6.33391826863154
26,1,1.49970747882357,"LOW HIGH",10.0349463356292
9,2,2.498389359223,"LOW HIGH",12.2276390617254
56,3,3.50085154041855,"LOW HIGH",14.6566866840915
33,4,4.49963822490673,"LOW HIGH",15.4533638332925
83,3,3.50104901016565,"LOW HIGH",15.5863348689375
15,1,1.50052496345342,"LOW HIGH",9.73943451182686
90,0,0.498478302626169,"LOW HIGH",6.21461185835127
37,3,3.50102714746838,"LOW HIGH",16.1039870526572
26,0,0.500065503924174,"LOW HIGH",6.22315990424905
43,2,2.4986645286202,"LOW HIGH",13.1391883289324
63,1,1.49942517944959,"LOW HIGH",10.2655289442205
84,4,4.5002216405085,"LOW HIGH",17.4634309455641
76,0,0.499415007596281,"LOW HIGH",6.20899855164575
33,0,0.498933088473689,"LOW HIGH",6.27297093532
43,2,2.50124088720799,"LOW HIGH",11.7531456614919
48,0,0.498210557202343,"LOW HIGH",6.17573889797654
3,0,0.50054797442781,"LOW HIGH",6.21543795195453
25,1,1.49888293134802,"LOW HIGH",10.7626795825222
8,0,0.498867548663424,"LOW HIGH",6.31121188280891
75,4,4.49844618281435,"LOW HIGH",15.1040822128954
65,3,3.50037629901735,"LOW HIGH",13.740567820733
54,2,2.50075995505291,"LOW HIGH",13.3425285341177
58,0,0.499977831015219,"LOW HIGH",5.99323361174188
73,0,0.497908753290971,"LOW HIGH",6.28229897185143
34,0,0.497892054804591,"LOW HIGH",6.20846164776184
24,7,7.50056798008783,"LOW HIGH",17.8559862655974
97,0,0.501660693202274,"LOW HIGH",6.23678874744345
73,4,4.49921304518328,"LOW HIGH",17.8298730123459
51,4,4.50239123961905,"LOW HIGH",16.4968626415599
97,0,0.501409599747919,"LOW HIGH",6.04241657878556
28,4,4.5002217552496,"LOW HIGH",14.8431401530314
22,0,0.499487940033915,"LOW HIGH",6.33077592411283
22,3,3.50120114440962,"LOW HIGH",14.9122269693713
73,0,0.498998312534938,"LOW HIGH",6.18221265281826
32,0,0.49942085831499,"LOW HIGH",6.21419560852961
96,3,3.50071556020605,"LOW HIGH",14.3296110921184
56,1,1.50006580718819,"LOW HIGH",9.84220291520507
22,1,1.50018439102112,"LOW HIGH",10.5308334873021
89,4,4.50162464623057,"LOW HIGH",17.1900938762512
99,0,0.499080149820213,"LOW HIGH",5.96063653805304
51,2,2.49932405274612,"LOW HIGH",12.2158713929165
20,6,6.50109029686799,"LOW HIGH",17.2701436980908
3,3,3.49789693994673,"LOW HIGH",14.8347859358399
87,8,8.50094084951408,"LOW HIGH",20.4494286876016
88,1,1.50018996548812,"LOW HIGH",9.54928084557631
2,2,2.49930814732677,"LOW HIGH",12.4656414645179
70,1,1.49967091324468,"LOW HIGH",10.1796760908264
58,0,0.500149765764539,"LOW HIGH",6.27330130637549
28,11,11.500488441118,"LOW HIGH",16.7832145725195
56,1,1.500177107791,"LOW HIGH",9.47107184039919
99,1,1.49964741670869,"LOW HIGH",10.083949703525
51,1,1.50056813959244,"LOW HIGH",9.35082619096209
35,3,3.49918175601935,"LOW HIGH",13.1131251474719
69,0,0.499019374753133,"LOW HIGH",6.48714861261132
7,2,2.50073690051605,"LOW HIGH",12.4043947699635
39,1,1.50000636114972,"LOW HIGH",10.2206963965286
61,0,0.500178669643707,"LOW HIGH",6.30912044432457
1,0,0.499528143370023,"LOW HIGH",6.29723887858884
80,1,1.50091163610784,"LOW HIGH",9.99243919319503
66,2,2.50026978191712,"LOW HIGH",11.6563872676893
27,0,0.500003403813527,"LOW HIGH",6.33590589549811
3,3,3.50255390816906,"LOW HIGH",13.3379328475129
67,2,2.50136694833821,"LOW HIGH",12.2833145720261
22,3,3.50092468885703,"LOW HIGH",15.3045017575773
1,0,0.498268461279407,"LOW HIGH",6.1182211495082
90,2,2.49840558749941,"LOW HIGH",12.615489614368
5,2,2.49972165165897,"LOW HIGH",13.0792202007609
2,0,0.499862838317685,"LOW HIGH",6.20733764612755
89,1,1.49857672609164,"LOW HIGH",9.41688487407005
60,1,1.49963480540448,"LOW HIGH",10.0497940656933
82,0,0.501458469799114,"LOW HIGH",6.39870054992383
85,3,3.49986083860653,"LOW HIGH",13.9731869141103
17,1,1.50138019977129,"LOW HIGH",9.70015655590401
21,2,2.49978320157085,"LOW HIGH",12.7142972067405
62,0,0.500168483132088,"LOW HIGH",6.24474596238113
76,3,3.50166006959739,"LOW HIGH",14.8161711262648
15,10,10.5011382329457,"LOW HIGH",17.4482540128365
81,2,2.49908862367372,"LOW HIGH",12.55297489279
56,6,6.49959045723757,"LOW HIGH",18.4232056214396
92,1,1.50009527208766,"LOW HIGH",9.52802772404146
50,3,3.49824663279111,"LOW HIGH",14.2883417570116
31,11,11.500041725399,"LOW HIGH",20.4675526932354
64,3,3.49995490601304,"LOW HIGH",14.4660928121163
25,0,0.499769681679928,"LOW HIGH",6.36820161709448
86,3,3.5005477012296,"LOW HIGH",15.7178689540221
42,1,1.5012953911546,"LOW HIGH",10.3577210230125
55,0,0.49845321271308,"LOW HIGH",6.23563746264132
81,3,3.50181487142707,"LOW HIGH",16.5633374425411
2,0,0.498934937887445,"LOW HIGH",6.07902648059723
9,0,0.500064107012733,"LOW HIGH",6.21514646392308
25,2,2.50064511168111,"LOW HIGH",11.7241763220843
33,2,2.50065404288109,"LOW HIGH",14.0462895155054
93,0,0.499510855727842,"LOW HIGH",6.71585340467436
43,5,5.49989635954216,"LOW HIGH",18.0165226833425
21,3,3.50074227040068,"LOW HIGH",14.8561458984431
99,3,3.50060247546563,"LOW HIGH",14.5186007097167
79,1,1.49898074548073,"LOW HIGH",9.7358983579661
52,0,0.500659618358908,"LOW HIGH",6.49506540163132
15,11,11.499465053147,"LOW HIGH",19.6823677721942
32,3,3.50043701050257,"LOW HIGH",14.5491060362879
49,3,3.50056443171725,"LOW HIGH",13.8622823878457
61,3,3.50012159224974,"LOW HIGH",14.8627288765259
86,0,0.498680074641228,"LOW HIGH",6.16222763131705
60,1,1.49904000695222,"LOW HIGH",10.229191337353
77,0,0.499402263266671,"LOW HIGH",6.30696020040261
10,7,7.50076410424092,"LOW HIGH",18.0675895170711
74,1,1.50042106865987,"LOW HIGH",9.92809653527467
18,3,3.50073691802079,"LOW HIGH",15.1250765000703
70,8,8.49951099647351,"LOW HIGH",22.0780634477989
72,2,2.49782570035262,"LOW HIGH",12.772933948595
7,4,4.49879236865281,"LOW HIGH",15.4182549652834
14,0,0.499629786720021,"LOW HIGH",6.50284492085937
9,5,5.50036992434186,"LOW HIGH",17.1170044990947
80,1,1.50050129686643,"LOW HIGH",9.81124498828483
96,0,0.501478927812386,"LOW HIGH",6.3956650246
75,2,2.50100132735243,"LOW HIGH",12.6726327863964
19,1,1.50104731764017,"LOW HIGH",10.1453048132901
30,1,1.50072640527536,"LOW HIGH",9.58732365614952
61,1,1.49900682744295,"LOW HIGH",9.76344411461314
12,1,1.50067874595531,"LOW HIGH",10.2454621075649
93,0,0.500403428839985,"LOW HIGH",6.25858666414987
75,6,6.49821163257763,"LOW HIGH",17.2952847194794
69,10,10.499849418508,"LOW HIGH",19.5610668364502
28,3,3.49981598311667,"LOW HIGH",14.1909679826171
26,1,1.50012044721911,"LOW HIGH",9.52965933980344
42,1,1.50096895016856,"LOW HIGH",10.1685681787553
62,0,0.500693457659222,"LOW HIGH",6.35442235285582
67,3,3.49868447277589,"LOW HIGH",16.3344405295652
64,4,4.4998684955544,"LOW HIGH",16.8663416888618
65,2,2.5010128053477,"LOW HIGH",12.6387297779844
26,0,0.499992343218809,"LOW HIGH",5.99820719882836
36,2,2.49840480426949,"LOW HIGH",12.1094932024238
98,2,2.49896189294532,"LOW HIGH",12.4463944674224
10,0,0.501378391725148,"LOW HIGH",6.10209656324227
22,3,3.50000938249903,"LOW HIGH",16.5183654275006
15,5,5.50045490802502,"LOW HIGH",16.1541555796605
98,0,0.500247269574496,"LOW HIGH",6.34158469433499
