"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG","Latitude_dd"
59,0,0.498482854685601,6.44610070235017,"HIGH LOW","early","high","R1",5.24723240872845
69,2,2.50022202228619,12.6654289770878,"HIGH LOW","early","high","R1",13.6742506045848
51,1,1.49948602838464,9.84546851081433,"HIGH LOW","early","high","R1",13.0929772350937
91,3,3.49982785280022,14.665069587005,"HIGH LOW","late","low","R1",7.73085917253047
57,0,0.500025020033806,6.16827031569026,"HIGH LOW","early","high","R1",9.17269844841212
85,2,2.50061285913984,11.7971694334592,"HIGH LOW","late","low","R1",2.65780177386478
52,3,3.49886249216079,16.4280136281642,"HIGH LOW","early","high","R1",2.82070235302672
96,0,0.501554712935648,6.32820810328547,"HIGH LOW","late","low","R1",2.04866591375321
81,2,2.49854515266914,12.6620995597952,"HIGH LOW","late","low","R1",1.09058653982356
91,0,0.500154789123951,6.40331590080588,"HIGH LOW","late","low","R1",0.362624225672334
75,4,4.49923978049398,15.2034227470297,"HIGH LOW","late","low","R1",9.73015426937491
76,2,2.50066315708946,12.4984287295561,"HIGH LOW","late","low","R1",9.75925870798528
98,0,0.500305716815207,6.31033812583271,"HIGH LOW","late","low","R1",7.26268836483359
75,0,0.499526388198591,6.2622794724719,"HIGH LOW","late","low","R1",12.1860727197491
69,0,0.500856342372635,6.2403361691017,"HIGH LOW","early","high","R1",4.45622379425913
64,0,0.501353267172137,6.31303588166963,"HIGH LOW","early","high","R1",2.73759366199374
85,1,1.49959334601342,9.77346982876618,"HIGH LOW","late","low","R1",5.66173449391499
73,0,0.499359345477277,6.33389459591848,"HIGH LOW","early","high","R1",12.4791846298613
80,1,1.49999834831972,9.42056962398161,"HIGH LOW","late","low","R1",2.60661188187078
63,6,6.49843557686959,20.458329429814,"HIGH LOW","early","high","R1",1.86596021987498
77,1,1.50086524155008,9.21627915002079,"HIGH LOW","late","low","R1",6.63633243227378
64,2,2.49815799585254,12.2958535429002,"HIGH LOW","early","high","R1",5.63753405306488
79,0,0.500538212778862,6.14889294595417,"HIGH LOW","late","low","R1",10.2480252729729
68,8,8.49765504957496,21.3083514645152,"HIGH LOW","early","high","R1",12.2308535454795
67,0,0.50023508726081,6.3979106716697,"HIGH LOW","early","high","R1",5.60486033698544
68,0,0.500485759304678,6.82630754916252,"HIGH LOW","early","high","R1",1.46288944827393
61,1,1.50292547607676,9.47159872284222,"HIGH LOW","early","high","R1",4.67762225586921
57,0,0.500063744446114,6.24971921210388,"HIGH LOW","early","high","R1",2.40378910070285
60,4,4.5008331979025,15.2558949876894,"HIGH LOW","early","high","R1",8.60553751233965
55,0,0.50067030551217,5.99868906235594,"HIGH LOW","early","high","R1",0.0428754193708301
62,1,1.5007582930669,10.042202302137,"HIGH LOW","early","high","R1",10.5482453941368
91,2,2.49905930324615,13.9062639957701,"HIGH LOW","late","low","R1",8.28480500215665
95,0,0.498012927173806,6.3739536969199,"HIGH LOW","late","low","R1",5.41348223714158
67,0,0.501526999511404,6.2892359973572,"HIGH LOW","early","high","R1",0.785214128438383
74,0,0.50121365590037,6.31541452073534,"HIGH LOW","early","high","R1",7.79787593241781
99,0,0.498438284230756,6.14819784045737,"HIGH LOW","late","low","R1",2.11932756798342
89,1,1.49861778269444,9.42613378490866,"HIGH LOW","late","low","R1",0.778393605723977
59,0,0.499400443446594,6.051217359924,"HIGH LOW","early","high","R1",7.23430217569694
73,2,2.50099443010024,12.834172637301,"HIGH LOW","early","high","R1",2.85547479754314
83,0,0.499431550295949,6.29793850250056,"HIGH LOW","late","low","R1",10.3886293475516
59,2,2.50062974966305,13.0110131990566,"HIGH LOW","early","high","R1",6.75404984969646
73,3,3.50165419267413,13.8984950856621,"HIGH LOW","early","high","R1",3.97235924843699
65,3,3.50173560591205,14.2623800806143,"HIGH LOW","early","high","R1",11.7410185001791
66,2,2.49858445014242,13.0136957742722,"HIGH LOW","early","high","R1",2.91319688828662
77,0,0.500138301633078,6.2420965021034,"HIGH LOW","late","low","R1",11.9357736441307
73,4,4.50083668492474,15.901869897742,"HIGH LOW","early","high","R1",9.20363130746409
60,1,1.50052548888639,9.91973247034684,"HIGH LOW","early","high","R1",8.44729615887627
66,1,1.50000296631445,9.36037500734289,"HIGH LOW","early","high","R1",2.54611275019124
82,0,0.499151783991651,6.26969522013148,"HIGH LOW","late","low","R1",1.62164975749329
74,0,0.501294984353894,6.15490729485018,"HIGH LOW","early","high","R1",13.7408862519078
82,2,2.50181375708031,12.2902567529653,"HIGH LOW","late","low","R1",12.5543537153862
55,2,2.50010648023176,13.5670434130091,"HIGH LOW","early","high","R1",1.38602988980711
55,0,0.49905800817304,6.28079691432485,"HIGH LOW","early","high","R1",2.72247288515791
72,4,4.49995142669677,16.9846298185268,"HIGH LOW","early","high","R1",3.50535530643538
78,1,1.49925517076097,9.84663523973791,"HIGH LOW","late","low","R1",2.39573289826512
61,3,3.50038930142938,14.3142785862137,"HIGH LOW","early","high","R1",13.9053486464545
70,0,0.50084125235747,6.358326386179,"HIGH LOW","early","high","R1",11.5847204560414
71,0,0.500423935666186,6.27128985445783,"HIGH LOW","early","high","R1",10.5585140762851
75,0,0.499698179889305,6.30903607048795,"HIGH LOW","late","low","R1",4.40545180952176
96,1,1.49966901035214,9.23500948794197,"HIGH LOW","late","low","R1",1.11970847612247
73,0,0.499383208525742,6.10774807318214,"HIGH LOW","early","high","R1",6.53324545547366
80,2,2.50092050684357,12.4925770622233,"HIGH LOW","late","low","R1",3.60008950345218
53,1,1.5031990365854,9.41166742484899,"HIGH LOW","early","high","R1",0.196060390677303
66,0,0.500587277145675,6.21300606205353,"HIGH LOW","early","high","R1",10.6784469885752
57,1,1.49877032139585,10.0391288222037,"HIGH LOW","early","high","R1",12.7732800091617
74,5,5.49997649690285,18.2728028694358,"HIGH LOW","early","high","R1",11.3050947426818
69,2,2.50145701591893,12.7686793084616,"HIGH LOW","early","high","R1",4.8419185820967
66,3,3.50098425568813,12.5937950021214,"HIGH LOW","early","high","R1",7.18957978207618
72,3,3.49939225574154,15.1427105274376,"HIGH LOW","early","high","R1",8.39148889807984
70,0,0.499224846367693,6.33068901721434,"HIGH LOW","early","high","R1",2.87480764416978
51,2,2.50027315463164,13.3623380735335,"HIGH LOW","early","high","R1",3.08936727046967
95,1,1.49991690423368,10.204508026711,"HIGH LOW","late","low","R1",8.79812993155792
89,0,0.499341865857839,5.97069413824802,"HIGH LOW","late","low","R1",7.8779461896047
86,1,1.49990993793414,9.88762908131115,"HIGH LOW","late","low","R1",13.4452230399475
73,1,1.49958455286033,9.83598587395112,"HIGH LOW","early","high","R1",7.09980292012915
79,0,0.501186571825504,6.3939379271311,"HIGH LOW","late","low","R1",4.06485769199207
93,0,0.501162428184422,6.1435798791105,"HIGH LOW","late","low","R1",9.28943104064092
86,0,0.498271808666438,6.22803372678134,"HIGH LOW","late","low","R1",4.59076335188001
56,2,2.49994546740592,12.9335596255908,"HIGH LOW","early","high","R1",7.07669714745134
61,4,4.50162156550497,16.692837283383,"HIGH LOW","early","high","R1",9.1778774773702
62,0,0.500930599632029,6.25314931512231,"HIGH LOW","early","high","R1",13.9101592199877
72,0,0.499368333447548,6.10668065054555,"HIGH LOW","early","high","R1",4.33322896901518
