"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG","Latitude_dd"
69,1,1.49976953784293,15.1836136136459,"LOW LOW","early","low","R2",17.5545551818796
99,1,1.50130898710464,15.6309349005084,"LOW LOW","late","low","R2",21.5010994723998
76,0,0.499760805086487,5.0641050994561,"LOW LOW","late","low","R2",21.9375350503251
84,0,0.500912275944983,4.99208529465026,"LOW LOW","late","low","R2",25.7969888728112
74,2,2.49930595696714,22.5164072119154,"LOW LOW","early","low","R2",26.5195376733318
55,1,1.50175639641685,15.8040795166388,"LOW LOW","early","low","R2",19.8503322931938
51,0,0.498903174976125,5.12374987824976,"LOW LOW","early","low","R2",19.9631775594316
62,0,0.49872545594622,4.90909315259977,"LOW LOW","early","low","R2",21.2584972674958
61,3,3.49920017703627,24.7288395018084,"LOW LOW","early","low","R2",16.3279430880211
55,1,1.49968888149857,15.6056009660338,"LOW LOW","early","low","R2",22.1854143957607
54,1,1.50076676568922,16.21091140279,"LOW LOW","early","low","R2",27.1195323243737
93,3,3.49942906632896,27.3678148903952,"LOW LOW","late","low","R2",17.3511650199071
82,1,1.4995959276435,15.8719176209174,"LOW LOW","late","low","R2",14.052720698528
66,0,0.501298605004634,5.03762896209649,"LOW LOW","early","low","R2",21.5257817776874
81,0,0.501002144180729,4.93828403678877,"LOW LOW","late","low","R2",27.4353296714835
60,3,3.500064298015,27.7758684759935,"LOW LOW","early","low","R2",24.8450731313787
63,4,4.4993187271013,32.4833633359561,"LOW LOW","early","low","R2",19.3709422401153
87,2,2.49952203342711,21.8681094681869,"LOW LOW","late","low","R2",23.65698758699
86,0,0.500443902701099,4.85808416356295,"LOW LOW","late","low","R2",26.0693307397887
64,4,4.49826060818704,30.1879629116483,"LOW LOW","early","low","R2",24.044707970228
57,0,0.499382649094172,4.95615970869886,"LOW LOW","early","low","R2",15.1371444924735
90,0,0.49894649366349,4.91836072795868,"LOW LOW","late","low","R2",27.4178216792643
78,0,0.501071184481635,4.83979243750839,"LOW LOW","late","low","R2",21.0729945804924
68,0,0.498950685065723,4.87595473990123,"LOW LOW","early","low","R2",15.0423509050161
50,1,1.49953379629974,16.066819626152,"LOW LOW","early","low","R2",14.9139001648873
73,2,2.49976680726316,21.6656755863969,"LOW LOW","early","low","R2",19.7670254167169
73,1,1.50004671931679,15.3973294115511,"LOW LOW","early","low","R2",15.082398804836
53,2,2.50090349628941,23.5966332131643,"LOW LOW","early","low","R2",14.6732334005646
68,2,2.49904404424514,25.3310693343824,"LOW LOW","early","low","R2",25.1084349909797
57,4,4.50000460124731,29.3189853324772,"LOW LOW","early","low","R2",22.1094686123542
59,0,0.499984069143221,5.10656024714262,"LOW LOW","early","low","R2",14.1511100153439
50,0,0.501071650813401,4.86519771790198,"LOW LOW","early","low","R2",25.3392304806039
82,1,1.50137698299611,16.1317522192326,"LOW LOW","late","low","R2",18.1167831877246
