"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG","Latitude_dd"
71,1,1.50010428646281,10.2655710592429,"MED HIGH",0.279180796584114,"early","med","R1",10.4643423086964
50,0,0.499458824303382,6.15146793163528,"MED HIGH",0.227783546014689,"early","med","R1",13.1959015498869
50,0,0.501119198188804,6.44235306120674,"MED HIGH",0.227783546014689,"early","med","R1",10.83670212375
58,3,3.50197533202276,15.1214290638819,"MED HIGH",0.292769877472892,"early","med","R1",2.90053701400757
67,0,0.500341943586628,6.20356598159895,"MED HIGH",0.26926866308786,"early","med","R1",0.193050494883209
93,3,3.50142602349567,13.8408484832097,"MED HIGH",0.303067025123164,"late","high","R1",5.59365154849365
96,0,0.498937260606577,6.48211451986834,"MED HIGH",0.306249077804387,"late","high","R1",4.92341025266796
82,3,3.50040208552574,14.2022246372672,"MED HIGH",0.393827506597154,"late","high","R1",6.95948531804606
73,1,1.49909013490475,10.3865465121144,"MED HIGH",0.295926891127601,"early","med","R1",10.8191221002489
97,2,2.50047877078417,13.4804790723656,"MED HIGH",0.331086866324767,"late","high","R1",12.8216513260268
76,0,0.501575600881028,6.27215171032102,"MED HIGH",0.371670897467993,"late","high","R1",4.41755166975781
74,1,1.49882438789093,9.6294185222333,"MED HIGH",0.274321392830461,"early","med","R1",2.15497586829588
77,0,0.499262126690487,6.1515804379633,"MED HIGH",0.365639259759337,"late","high","R1",10.1406742059626
88,2,2.49989282624667,12.5659836481501,"MED HIGH",0.310380963888019,"late","high","R1",13.9675987595692
91,0,0.499841818767925,6.26388760582735,"MED HIGH",0.307179454434663,"late","high","R1",4.62138773594052
89,0,0.499586286204383,6.4152516853035,"MED HIGH",0.303527069254778,"late","high","R1",11.005292929709
51,7,7.50278626168546,18.0181963637608,"MED HIGH",0.287698160507716,"early","med","R1",2.57785609317943
94,0,0.500827472982557,6.19650277249433,"MED HIGH",0.332647631177679,"late","high","R1",1.17278804676607
88,0,0.497865424603772,6.43230795421034,"MED HIGH",0.310380963888019,"late","high","R1",1.2917808983475
75,0,0.500444050799872,6.34715156407885,"MED HIGH",0.379796546511352,"late","high","R1",12.3981799967587
78,0,0.501430223291068,6.10961356644583,"MED HIGH",0.308813040843233,"late","high","R1",3.35870350524783
95,1,1.49970727192336,10.1868570966255,"MED HIGH",0.301421929872595,"late","high","R1",0.583046317566186
65,2,2.50041805396879,12.2285263416965,"MED HIGH",0.266247741458938,"early","med","R1",11.1299086152576
90,2,2.5009814322935,13.2446143061078,"MED HIGH",0.399647129420191,"late","high","R1",12.2946563893929
71,9,9.49842865080115,21.3162876899027,"MED HIGH",0.279180796584114,"early","med","R1",7.38756307354197
97,0,0.501397337679375,6.23154155718945,"MED HIGH",0.391821325127967,"late","high","R1",0.976984452921897
66,0,0.501589982926193,6.29114210234035,"MED HIGH",0.246805817005225,"early","med","R1",7.16273086657748
58,1,1.50042161302278,9.5140355549917,"MED HIGH",0.203026017942466,"early","med","R1",1.57530789542943
75,2,2.49841075086332,12.808620534468,"MED HIGH",0.349712847382762,"late","high","R1",0.0838933000341058
60,5,5.50116182680579,18.4405172006453,"MED HIGH",0.212451158720069,"early","med","R1",4.14066430227831
85,0,0.500152637008402,6.25538285029903,"MED HIGH",0.315670153265819,"late","high","R1",4.5687976051122
81,0,0.499988336900552,6.43433242107361,"MED HIGH",0.318255798122846,"late","high","R1",5.15178732248023
77,0,0.500445187704742,6.51212062547385,"MED HIGH",0.331092884880491,"late","high","R1",2.81776217743754
50,4,4.49902805816573,17.0205862424044,"MED HIGH",0.272904596850276,"early","med","R1",9.04134820960462
79,0,0.499556384696698,6.22466630571702,"MED HIGH",0.327321881358512,"late","high","R1",5.02309633139521
69,4,4.50089421772414,18.5654465188088,"MED HIGH",0.211407678644173,"early","med","R1",9.46745027462021
73,1,1.49942045948061,9.62814648555026,"MED HIGH",0.282732147071511,"early","med","R1",13.1550628771074
67,1,1.50029909475806,9.30814257662291,"MED HIGH",0.266537011507899,"early","med","R1",6.90697809262201
97,0,0.500699001146118,6.19965475604595,"MED HIGH",0.391821325127967,"late","high","R1",3.06861846707761
61,1,1.4988903506177,9.41721813794876,"MED HIGH",0.212340405606665,"early","med","R1",11.0142682986334
54,2,2.50078463396725,12.6216221541509,"MED HIGH",0.292862975317985,"early","med","R1",6.30447459965944
99,0,0.500033952616251,6.27793593084898,"MED HIGH",0.37302019642666,"late","high","R1",2.60892885550857
79,1,1.50129186596177,9.89929750589107,"MED HIGH",0.327321881358512,"late","high","R1",1.31389951845631
73,0,0.500740662825345,6.39080113153661,"MED HIGH",0.282732147071511,"early","med","R1",9.65773750049993
80,0,0.499525355358104,6.14726854267287,"MED HIGH",0.347274255403318,"late","high","R1",9.01003580261022
66,6,6.49989894725296,17.3977495273001,"MED HIGH",0.268124914658256,"early","med","R1",12.1140434653498
75,1,1.50039706377029,9.91097961524707,"MED HIGH",0.379796546511352,"late","high","R1",13.8476199419238
96,2,2.49999135692859,13.0936459334287,"MED HIGH",0.306249077804387,"late","high","R1",2.0200762716122
92,1,1.49930768050802,10.2016419915882,"MED HIGH",0.323605369590223,"late","high","R1",0.343206260353327
75,2,2.50083338000332,12.7292185696128,"MED HIGH",0.371476589259692,"late","high","R1",8.05460884748027
80,0,0.499484786764583,6.14166240385936,"MED HIGH",0.347274255403318,"late","high","R1",5.87069219350815
60,3,3.49982782491874,14.6325303293716,"MED HIGH",0.256116138957441,"early","med","R1",0.612194731831551
54,3,3.50101469008595,15.8861098657095,"MED HIGH",0.201831063069403,"early","med","R1",4.59685313748196
92,1,1.50157627305835,10.0185383546313,"MED HIGH",0.323605369590223,"late","high","R1",11.9836558145471
53,4,4.49986672109273,14.9608146909411,"MED HIGH",0.281469099153765,"early","med","R1",11.3519787592813
57,0,0.497387955735498,6.0409717519026,"MED HIGH",0.290756097598933,"early","med","R1",0.450272295624018
