"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG","Latitude_dd"
68,0,0.500512584743073,6.25279352853636,"HIGH HIGH HIGH",0.301677289721556,"R0",5.30310869216919
51,0,0.502326854060548,6.11620553455505,"HIGH HIGH HIGH",0.306485831737518,"R0",15.576470119413
61,1,1.50098510672568,9.96444518595639,"HIGH HIGH HIGH",0.374139230023138,"R0",41.2214349023998
57,0,0.500419670614883,6.31303223055768,"HIGH HIGH HIGH",0.38372312868014,"R0",16.9309104327112
70,1,1.49979650318481,9.82834706701464,"HIGH HIGH HIGH",0.397701693000272,"R0",0.659875466953963
63,0,0.500032805395618,6.43546859754762,"HIGH HIGH HIGH",0.309671919653192,"R0",47.0737670664676
53,1,1.50087323463956,9.98256406727527,"HIGH HIGH HIGH",0.366159583046101,"R0",37.5951396534219
69,0,0.501840463765751,6.45773582517915,"HIGH HIGH HIGH",0.334983185376041,"R0",43.3521230821498
51,0,0.502347691579209,6.43806771847875,"HIGH HIGH HIGH",0.306485831737518,"R0",15.0802681222558
70,1,1.49948856508267,9.600683325594,"HIGH HIGH HIGH",0.396305756550282,"R0",2.48092437395826
92,1,1.49940043166745,9.9384138305062,"HIGH HIGH HIGH",0.314912204165012,"R0",6.47363829193637
57,0,0.499188862071729,6.34221096606066,"HIGH HIGH HIGH",0.396770165464841,"R0",15.7905056956224
97,2,2.50114654520182,12.5668749002432,"HIGH HIGH HIGH",0.343868887075223,"R0",49.4021006277762
50,4,4.49850063393634,16.9579932639334,"HIGH HIGH HIGH",0.392923445254564,"R0",39.1877636429854
77,0,0.500206599821508,6.43201389703798,"HIGH HIGH HIGH",0.339659660821781,"R0",14.2475439002737
96,0,0.498789955389075,6.14649555538288,"HIGH HIGH HIGH",0.334496966563165,"R0",8.17404642002657
