"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG","Latitude_dd"
93,4,4.49887996553894,14.5924895476522,"MED MED MED",0.266218470386229,"late","med","R0",40.4037266969681
56,12,12.5011890310678,22.5423948449436,"MED MED MED",0.256519459956326,"early","med","R0",47.4846911383793
63,0,0.499260878870491,6.27545025868867,"MED MED MED",0.226698908652179,"early","med","R0",6.25696263741702
68,1,1.49774206082965,10.3196529122442,"MED MED MED",0.215349217434414,"early","med","R0",47.0800841925666
60,0,0.502046719055463,6.59886444536711,"MED MED MED",0.20151636635419,"early","med","R0",48.8216734374873
71,0,0.500270662040078,6.15043438065101,"MED MED MED",0.271822586469352,"early","med","R0",30.5333803291433
55,6,6.49827833207665,19.5068089466306,"MED MED MED",0.277168989228085,"early","med","R0",33.5897929151542
68,0,0.497964520692575,6.39244962009389,"MED MED MED",0.251327085308731,"early","med","R0",5.62358762836084
79,0,0.49988600990689,6.59206084361852,"MED MED MED",0.252678137016483,"late","med","R0",49.0594309405424
85,3,3.50049667471382,14.8705774813627,"MED MED MED",0.241152985696681,"late","med","R0",44.8222057893872
96,2,2.50035039730477,13.0791427141198,"MED MED MED",0.2053030742798,"late","med","R0",47.1228891634382
68,2,2.49783038377633,12.7873567805778,"MED MED MED",0.251327085308731,"early","med","R0",4.09683807520196
89,4,4.50229834073238,16.1348910025445,"MED MED MED",0.221318085375242,"late","med","R0",42.1052359859459
59,0,0.499638427184319,6.38518032927259,"MED MED MED",0.259439073665999,"early","med","R0",3.41464428929612
65,0,0.499379991607513,6.00153944258114,"MED MED MED",0.29084812568035,"early","med","R0",33.7040096754208
62,0,0.502033435650346,6.35098674896776,"MED MED MED",0.253242736845277,"early","med","R0",9.04128313995898
66,1,1.50033042927481,9.20246579862303,"MED MED MED",0.278329792874865,"early","med","R0",44.8782888590358
69,4,4.50087959969246,17.4301610075134,"MED MED MED",0.249804436019622,"early","med","R0",34.8028689506464
50,3,3.50059238001196,15.5819575350005,"MED MED MED",0.251108968793415,"early","med","R0",8.86136455228552
74,5,5.5014297209885,17.6179274989528,"MED MED MED",0.269191875332035,"early","med","R0",35.1464623003267
60,0,0.498899914877394,6.40123819245607,"MED MED MED",0.20151636635419,"early","med","R0",16.2311234860681
83,0,0.500398996525719,6.19508039298529,"MED MED MED",0.244139641826041,"late","med","R0",10.5193552095443
68,0,0.500908869903649,6.0944576328079,"MED MED MED",0.215349217434414,"early","med","R0",34.314030513633
71,1,1.49988847972323,9.4851288922958,"MED MED MED",0.271822586469352,"early","med","R0",34.7223189775832
75,0,0.499226637921262,6.47861194812385,"MED MED MED",0.20910036873538,"late","med","R0",29.3298436095938
87,4,4.49968762414599,16.0326489126813,"MED MED MED",0.214485497586429,"late","med","R0",14.6564191672951
50,1,1.49956169957225,10.1875216583819,"MED MED MED",0.295033178129233,"early","med","R0",4.75336362142116
76,1,1.49881937830411,9.42962679323512,"MED MED MED",0.214514150493778,"late","med","R0",45.4320250428282
60,2,2.49967961966017,12.918615423461,"MED MED MED",0.20151636635419,"early","med","R0",39.2531501594931
74,1,1.50043529794271,9.89284281929328,"MED MED MED",0.264034474128857,"early","med","R0",4.71470151096582
56,0,0.498660514007374,6.20466389442516,"MED MED MED",0.233797551691532,"early","med","R0",26.4998513157479
74,7,7.49994165390947,20.074547568454,"MED MED MED",0.242775748949498,"early","med","R0",5.56684921029955
74,0,0.500020006472473,6.2903194956328,"MED MED MED",0.264034474128857,"early","med","R0",46.6293383506127
68,2,2.50136481309879,12.7034730311193,"MED MED MED",0.26562876184471,"early","med","R0",7.31594004901126
60,2,2.49856680657106,12.5286366756499,"MED MED MED",0.20151636635419,"early","med","R0",32.3785184649751
78,1,1.50037834530782,9.2638020267429,"MED MED MED",0.299210647912696,"late","med","R0",45.4464537557214
55,2,2.49830798974343,12.5796251793718,"MED MED MED",0.231493103387766,"early","med","R0",15.0905710877851
55,2,2.50059972729444,12.0972423743295,"MED MED MED",0.231493103387766,"early","med","R0",19.2690952331759
88,0,0.500416338089198,6.50023809406786,"MED MED MED",0.204572613211349,"late","med","R0",46.9840808305889
82,0,0.498745647595423,6.31155821206272,"MED MED MED",0.237351597705856,"late","med","R0",47.313381684944
82,0,0.501711933236202,6.35612955229659,"MED MED MED",0.227710724878125,"late","med","R0",16.6381123010069
66,0,0.501340568147325,6.29089650093425,"MED MED MED",0.278558884514496,"early","med","R0",19.3770008743741
88,0,0.500991455574504,6.28536017988801,"MED MED MED",0.213392147584818,"late","med","R0",23.4196717734449
52,8,8.50057931367639,22.9132665691785,"MED MED MED",0.240894607431255,"early","med","R0",34.7722116624936
57,1,1.50134160914389,9.92633247792871,"MED MED MED",0.267449206952006,"early","med","R0",1.51875738520175
52,0,0.499564593503065,6.07455121297008,"MED MED MED",0.256208693166263,"early","med","R0",8.52331283967942
87,0,0.500912442723008,6.00450763300355,"MED MED MED",0.210316145862453,"late","med","R0",3.06874985108152
53,3,3.49945581698398,15.2298322351124,"MED MED MED",0.271081720129587,"early","med","R0",42.3487621708773
52,1,1.50019054321256,10.1253931277569,"MED MED MED",0.24623088054359,"early","med","R0",15.8390288357623
56,8,8.49885402157866,19.3021105960951,"MED MED MED",0.233797551691532,"early","med","R0",1.12250141100958
71,3,3.50156984536864,15.9297271226354,"MED MED MED",0.226757501228712,"early","med","R0",21.2586928158998
60,0,0.499114686898207,6.18664106946431,"MED MED MED",0.201222944259644,"early","med","R0",28.7340632174164
78,2,2.50041162095287,14.1054892452082,"MED MED MED",0.255639269249514,"late","med","R0",48.134344688151
84,2,2.50178012484216,13.1568727554533,"MED MED MED",0.292980698030442,"late","med","R0",8.88298148056492
69,0,0.499127078459979,6.41903913263876,"MED MED MED",0.274110022652894,"early","med","R0",40.5690141255036
87,3,3.50217101661541,13.9374911928111,"MED MED MED",0.225650301389396,"late","med","R0",45.6285203224979
60,0,0.50014566781571,6.19028503891652,"MED MED MED",0.201222944259644,"early","med","R0",47.0454548019916
52,1,1.49776004643897,9.92825386113335,"MED MED MED",0.256208693166263,"early","med","R0",9.29541325895116
57,4,4.49888883411516,16.5624068498482,"MED MED MED",0.248992467834614,"early","med","R0",3.2015472301282
